Incidence Rate Report by State

"Lung & Bronchus (All Stages^), 2014-2018"

"All Races (includes Hispanic), Both Sexes, Ages <50"

Sorted by Rate

State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,***,3.2 ,3.1, 3.2,N/A , N/A , N/A,6233,falling,-5.4 ,-5.8, -5.1
"Maine(6)",23000,***,6.4 ,5.7, 7.3,1 , 1 , 4,51,stable,-0.7 ,-1.9, 0.5
"Kentucky(7)",21000,***,5.9 ,5.5, 6.4,2 , 1 , 4,163,falling,-6.9 ,-9.2, -4.6
"West Virginia(6)",54000,***,5.8 ,5.2, 6.5,3 , 1 , 6,64,falling,-5.1 ,-8.1, -1.9
"Tennessee(6)",47000,***,5 ,4.7, 5.3,4 , 3 , 9,203,falling,-4.3 ,-5.0, -3.6
"Vermont(6)",50000,***,4.9 ,3.9, 6,5 , 1 , 22,17,stable,-2.0 ,-4.6, 0.6
"Ohio(6)",39000,***,4.8 ,4.6, 5.1,6 , 4 , 10,335,falling,-4.5 ,-6.1, -2.8
"Arkansas(6)",05000,***,4.7 ,4.3, 5.2,7 , 4 , 13,81,falling,-4.2 ,-5.5, -2.9
"Mississippi(6)",28000,***,4.7 ,4.2, 5.1,8 , 4 , 14,81,*,*,*,*
"Indiana(6)",18000,***,4.5 ,4.3, 4.9,9 , 4 , 12,179,falling,-12.3 ,-20.2, -3.6
"Delaware(6)",10000,***,4.4 ,3.7, 5.3,10 , 3 , 24,24,falling,-3.2 ,-5.4, -1.0
"Missouri(6)",29000,***,4.1 ,3.8, 4.4,11 , 8 , 21,145,falling,-6.8 ,-9.3, -4.2
"Michigan(5)",26000,***,4 ,3.7, 4.2,13 , 9 , 21,234,falling,-4.9 ,-5.8, -3.9
"North Carolina(6)",37000,***,4 ,3.8, 4.2,14 , 9 , 21,252,falling,-5.4 ,-5.9, -4.9
"Louisiana(7)",22000,***,3.9 ,3.6, 4.3,12 , 8 , 22,109,falling,-7.7 ,-9.5, -6.0
"South Carolina(6)",45000,***,3.9 ,3.6, 4.2,15 , 9 , 23,114,falling,-4.9 ,-5.6, -4.1
"Pennsylvania(6)",42000,***,3.8 ,3.6, 4,17 , 10 , 22,291,falling,-4.8 ,-5.9, -3.7
"Alabama(6)",01000,***,3.8 ,3.5, 4.2,18 , 10 , 24,112,falling,-6.5 ,-8.2, -4.9
"Rhode Island(6)",44000,***,3.8 ,3.2, 4.6,19 , 5 , 33,24,falling,-4.9 ,-6.7, -3.1
"Iowa(7)",19000,***,3.8 ,3.4, 4.2,16 , 8 , 24,68,falling,-4.1 ,-6.7, -1.5
"Oklahoma(6)",40000,***,3.7 ,3.3, 4.1,20 , 10 , 26,82,falling,-5.0 ,-6.0, -4.0
"New Hampshire(6)",33000,***,3.7 ,3.1, 4.3,21 , 8 , 34,31,falling,-4.0 ,-5.8, -2.0
"New York(7)",36000,***,3.6 ,3.4, 3.7,22 , 16 , 24,437,falling,-3.3 ,-3.6, -3.0
"Florida(6)",12000,***,3.5 ,3.3, 3.6,23 , 19 , 25,428,falling,-6.2 ,-6.8, -5.5
"Illinois(6)",17000,***,3.1 ,3, 3.3,24 , 22 , 32,248,falling,-4.9 ,-5.4, -4.4
"Nebraska(6)",31000,***,3.1 ,2.6, 3.6,25 , 16 , 40,33,falling,-4.4 ,-5.9, -2.8
"Wisconsin(6)",55000,***,3.1 ,2.8, 3.3,27 , 22 , 37,104,falling,-5.3 ,-6.6, -4.0
"Massachusetts(7)",25000,***,3 ,2.8, 3.3,26 , 22 , 35,131,falling,-6.9 ,-8.5, -5.3
"Maryland(6)",24000,***,2.9 ,2.7, 3.2,28 , 23 , 38,112,falling,-5.4 ,-6.4, -4.4
"Georgia(7)",13000,***,2.9 ,2.7, 3,29 , 24 , 37,193,falling,-8.6 ,-10.4, -6.8
"Virginia(6)",51000,***,2.9 ,2.7, 3.1,31 , 25 , 39,152,stable,-2.4 ,-12.7, 9.2
"Minnesota(6)",27000,***,2.8 ,2.6, 3.1,32 , 24 , 40,92,falling,-3.6 ,-4.5, -2.6
"New Jersey(7)",34000,***,2.8 ,2.6, 3,30 , 24 , 38,163,falling,-4.5 ,-5.1, -3.8
"District of Columbia(6)",11001,***,2.8 ,2.1, 3.6,33 , 14 , 49,11,*,*,*,*
"Kansas(6)",20000,***,2.8 ,2.4, 3.1,35 , 24 , 43,45,falling,-8.2 ,-10.9, -5.4
"Connecticut(7)",09000,***,2.7 ,2.4, 3,34 , 24 , 42,61,falling,-5.4 ,-7.4, -3.4
"North Dakota(6)",38000,***,2.7 ,2, 3.5,36 , 17 , 50,10,*,*,*,*
"Alaska(6)",02900,***,2.6 ,1.9, 3.3,37 , 21 , 50,11,*,*,*,*
