Year,Sex,Race/Ethnicity,Age,California Region,Stage at Diagnosis,"Age-adjusted Rate per 100,000",Age-adjusted Rate Standard Error,Age-adjusted Rate Lower Confidence Interval,Age-adjusted Rate Upper Confidence Interval,Count
2010,Both Sexes,All Races,All Ages,Alameda County,All Stages,44.8118,1.8013,41.3504,48.4812,646
2010,Both Sexes,All Races,All Ages,Butte County,All Stages,63.0616,4.9021,53.8195,73.5358,171
2010,Both Sexes,All Races,All Ages,Contra Costa County,All Stages,50.2429,2.2114,46.0016,54.7691,536
2010,Both Sexes,All Races,All Ages,El Dorado County,All Stages,54.2364,4.9899,44.8983,65.1021,124
2010,Both Sexes,All Races,All Ages,Fresno County,All Stages,51.7782,2.6266,46.7576,57.1687,401
2010,Both Sexes,All Races,All Ages,Imperial County,All Stages,44.4798,5.4402,34.4607,56.4188,68
2010,Both Sexes,All Races,All Ages,Kern County,All Stages,54.1059,2.9256,48.5231,60.1241,356
2010,Both Sexes,All Races,All Ages,Kings County,All Stages,58.6771,7.5752,44.7768,75.2487,63
2010,Both Sexes,All Races,All Ages,Lake County,All Stages,68.2524,8.8178,52.0728,88.4939,63
2010,Both Sexes,All Races,All Ages,Los Angeles County,All Stages,40.8923,0.6829,39.5646,42.2522,3688
2010,Both Sexes,All Races,All Ages,Madera County,All Stages,49.6602,5.9713,38.6508,62.784,71
2010,Both Sexes,All Races,All Ages,Marin County,All Stages,44.815,3.7269,37.8083,52.871,152
2010,Both Sexes,All Races,All Ages,Mendocino County,All Stages,53.8531,7.2069,40.6623,70.2185,61
2010,Both Sexes,All Races,All Ages,Merced County,All Stages,60.3491,5.5086,50.0362,72.0671,123
2010,Both Sexes,All Races,All Ages,Monterey County,All Stages,41.5152,3.3772,35.1599,48.6554,157
2010,Both Sexes,All Races,All Ages,Napa County,All Stages,55.2982,5.8388,44.449,68.1311,93
2010,Both Sexes,All Races,All Ages,Nevada County,All Stages,41.9791,5.3276,32.1916,54.3957,65
2010,Both Sexes,All Races,All Ages,Orange County,All Stages,48.557,1.31,46.0231,51.1925,1410
2010,Both Sexes,All Races,All Ages,Placer County,All Stages,47.1403,3.3562,40.7914,54.2513,200
2010,Both Sexes,All Races,All Ages,Riverside County,All Stages,47.3363,1.509,44.4244,50.3867,995
2010,Both Sexes,All Races,All Ages,Sacramento County,All Stages,54.7472,2.0546,50.7937,58.9209,733
2010,Both Sexes,All Races,All Ages,San Benito County,All Stages,41.8901,10.08,24.5204,66.1105,18
2010,Both Sexes,All Races,All Ages,San Bernardino County,All Stages,50.2864,1.8335,46.7565,53.998,789
2010,Both Sexes,All Races,All Ages,San Diego County,All Stages,46.6098,1.2787,44.1369,49.1829,1368
2010,Both Sexes,All Races,All Ages,San Francisco County,All Stages,50.9206,2.3849,46.3529,55.8471,467
2010,Both Sexes,All Races,All Ages,San Joaquin County,All Stages,65.4646,3.3793,59.008,72.4096,389
2010,Both Sexes,All Races,All Ages,San Luis Obispo County,All Stages,39.1334,3.4917,32.5895,46.6977,132
2010,Both Sexes,All Races,All Ages,San Mateo County,All Stages,44.6019,2.367,40.0827,49.506,367
2010,Both Sexes,All Races,All Ages,Santa Barbara County,All Stages,44.7819,3.2345,38.6665,51.5967,197
2010,Both Sexes,All Races,All Ages,Santa Clara County,All Stages,38.3856,1.5466,35.4136,41.5351,633
2010,Both Sexes,All Races,All Ages,Santa Cruz County,All Stages,32.6172,3.6859,25.7953,40.6772,84
2010,Both Sexes,All Races,All Ages,Shasta County,All Stages,61.3365,5.0983,51.7512,72.3573,149
2010,Both Sexes,All Races,All Ages,Solano County,All Stages,59.7647,3.9124,52.3419,67.9377,244
2010,Both Sexes,All Races,All Ages,Sonoma County,All Stages,53.5494,3.2183,47.4268,60.2609,294
2010,Both Sexes,All Races,All Ages,Stanislaus County,All Stages,64.9625,3.8017,57.7243,72.833,300
